variance,skewness,curtosis,entropy,class
2.5331,2.9135,-0.822,-0.12243,no
-2.7914,1.7734,6.7756,-0.39915,no
5.7823,5.5788,-2.4089,-0.056479,no
3.5358,6.7086,-0.81857,0.47886,no
1.4884,3.6274,3.308,0.48921,no
-0.2951,9.0489,-0.52725,-2.0789,no
1.645,7.8612,-0.87598,-3.5569,no
4.0047,0.45937,1.3621,1.6181,no
4.2756,-2.6528,2.1375,0.94437,no
3.8969,7.4163,-1.8245,0.14007,no
3.4667,-4.0724,4.2882,1.5418,no
1.0191,2.33,4.9334,0.82929,no
5.0185,8.5978,-2.9375,-1.281,no
5.438,9.4669,-4.9417,-3.9202,no
0.5195,-3.2633,3.0895,-0.9849,no
4.0127,10.1477,-3.9366,-4.0728,no
-0.16108,-6.4624,8.3573,-1.5216,no
3.9364,10.5885,-3.725,-4.3133,no
1.0135,8.4551,-1.672,-2.0815,no
0.93584,8.8855,-1.6831,-1.6599,no
1.9818,9.2621,-3.521,-1.872,no
2.877,-4.0599,3.6259,-0.32544,no
5.504,10.3671,-4.413,-4.0211,no
3.534,9.3614,-3.6316,-1.2461,no
2.6799,3.1349,0.34073,0.58489,no
3.9719,1.0367,0.75973,1.0013,no
3.4667,-4.0724,4.2882,1.5418,no
3.3669,-5.1856,3.6935,-1.1427,no
0.96788,7.1907,1.2798,-2.4565,no
3.2585,-4.4614,3.8024,-0.15087,no
1.5478,9.1814,-1.6326,-1.7375,no
-0.048008,-0.56078,7.7215,0.453,no
3.82,10.9279,-4.0112,-5.0284,no
0.3292,-4.4552,4.5718,-0.9888,no
0.46901,-0.63321,7.3848,0.36507,no
1.2616,4.4303,-1.3335,-1.7517,no
5.1321,-0.031048,0.32616,1.1151,no
2.1464,6.0795,-0.5778,-2.2302,no
4.1195,10.9258,-3.8929,-4.1802,no
4.988,7.2052,-3.2846,-1.1608,no
1.1166,8.6496,-0.96252,-1.8112,no
4.9362,7.6046,-2.3429,-0.85302,no
0.56953,7.6294,1.5754,-3.2233,no
1.518,5.6946,0.094818,-0.026738,no
1.3349,6.1189,0.46497,0.49826,no
3.5829,1.4423,1.0219,1.4008,no
2.8261,9.4007,-3.3034,-1.0509,no
4.2458,1.1981,0.66633,0.94696,no
0.68087,2.3259,4.9085,0.54998,no
-1.3612,10.694,1.7022,-2.9026,no
-0.78289,11.3603,-0.37644,-7.0495,no
3.1377,-4.1096,4.5701,0.98963,no
3.4893,6.69,-1.2042,-0.38751,no
-0.36279,8.2895,-1.9213,-3.3332,no
1.7496,-0.1759,5.1827,1.2922,no
-1.6952,1.0657,8.8294,0.94955,no
4.3937,0.35798,2.0416,1.2004,no
2.994,7.2011,-1.2153,0.3211,no
-0.2951,9.0489,-0.52725,-2.0789,no
2.8672,10.0008,-3.2049,-3.1095,no
3.5912,3.0129,0.72888,0.56421,no
-1.0401,9.3987,0.85998,-5.3336,no
3.4805,9.7008,-3.7541,-3.4379,no
4.0026,-3.5943,3.5573,0.26809,no
4.4072,-0.070365,2.0416,1.1319,no
4.1349,6.1189,-2.4294,-0.19613,no
3.5127,2.9073,1.0579,0.40774,no
3.482,-4.1634,3.5008,-0.078462,no
2.2596,-0.033118,4.7355,-0.2776,no
-0.87834,3.257,-3.6778,-3.2944,yes
-3.3458,-0.50491,2.6328,0.53705,yes
-1.5621,-2.2121,4.2591,0.27972,yes
0.81583,4.84,-5.2613,-6.0823,yes
-0.95403,1.9824,-2.3163,-1.1957,yes
-2.4198,-0.24418,0.70146,0.41809,yes
-1.7886,-6.3486,5.6154,0.42584,yes
-4.6765,-5.6636,10.969,-0.33449,yes
-1.2792,2.1376,-0.47584,-1.3974,yes
-5.8818,7.6584,0.5558,-2.9155,yes
-1.0744,-6.3113,5.355,0.80472,yes
0.24394,1.4733,-1.4192,-0.58535,yes
-2.2173,1.4671,-0.72689,-1.1724,yes
0.60731,3.9544,-4.772,-4.4853,yes
0.18868,0.70148,-0.51182,0.005589,yes
-2.3147,3.6668,-0.6969,-1.2474,yes
-2.2482,3.0915,-2.3969,-2.6711,yes
-2.3277,1.4381,-0.82114,-1.2862,yes
0.55298,-3.4619,1.7048,1.1008,yes
0.062525,2.9301,-3.5467,-2.6737,yes
-3.6817,3.2239,-0.69347,-3.4004,yes
1.5514,3.8013,-4.9143,-3.7483,yes
2.031,1.852,-3.0121,0.003003,yes
-0.69879,-3.3771,4.1211,1.5043,yes
0.7049,0.17174,-1.7859,0.36119,yes
-4.2091,4.7283,-0.49126,-5.2159,yes
0.3434,0.12415,-0.28733,0.14654,yes
-1.2943,2.6735,-0.84085,-2.0323,yes
0.39012,-0.14279,-0.031994,0.35084,yes
-1.3995,-1.9162,2.5154,0.59912,yes
-2.5419,-0.65804,2.6842,1.1952,yes
-3.8167,5.1401,-0.65063,-5.4306,yes
-4.0218,-8.304,12.555,-1.5099,yes
-2.0662,0.16967,-1.0054,-0.82975,yes
-0.49281,3.0605,-1.8356,-2.834,yes
-2.0659,1.0512,-0.46298,-1.0974,yes
-2.3675,-0.43663,1.692,-0.43018,yes
-2.4824,-7.3046,6.839,-0.59053,yes
-2.2214,-0.23798,0.56008,0.05602,yes
-0.71868,-5.7154,3.8298,1.0233,yes
-3.3203,-0.02691,2.9618,-0.44958,yes
0.22432,-0.52147,-0.40386,1.2017,yes
-1.1022,-5.8395,4.5641,0.68705,yes
-2.799,1.9679,-0.42357,-2.1125,yes
-6.5773,6.8017,0.85483,-7.5344,yes
-2.62,-6.8555,6.2169,-0.62285,yes
-2.5084,-0.22763,1.488,1.2069,yes
-3.3793,-13.7731,17.9274,-2.0323,yes
-2.1674,0.12415,-1.0465,-0.86208,yes
-4.9447,3.3005,1.063,-1.444,yes
1.208,4.0744,-4.7635,-2.6129,yes
-0.9854,-6.661,5.8245,0.5461,yes
-1.9551,-6.9756,5.5383,-0.12889,yes
-4.9447,3.3005,1.063,-1.444,yes
-0.65767,-2.8018,3.7115,0.99739,yes
-0.52645,-0.24832,-0.45613,0.41938,yes
-0.27068,3.2674,-3.5562,-3.0888,yes
-1.1022,-5.8395,4.5641,0.68705,yes
-2.564,-1.7051,1.5026,0.32757,yes
-0.9854,-6.661,5.8245,0.5461,yes
-0.26654,-0.64562,-0.42014,0.89136,yes
-4.8392,6.6755,-0.24278,-6.5775,yes
-2.4621,2.7645,-0.62578,-2.8573,yes
-3.5801,-12.9309,13.1779,-2.5677,yes
-1.6029,-0.38903,1.62,1.9103,yes
-2.3277,1.4381,-0.82114,-1.2862,yes
-1.0941,2.3072,-2.5237,-1.4453,yes
-6.7387,6.9879,0.67833,-7.5887,yes
-3.2854,4.0372,-0.45356,-1.8228,yes
-4.0173,-8.3123,12.4547,-1.4375,yes
-2.5084,-0.22763,1.488,1.2069,yes
-2.8267,-9.0407,9.0694,-0.98233,yes
-3.5916,-6.2285,10.2389,-1.1543,yes
0.7376,4.8525,-4.7986,-5.6659,yes
-3.793,-12.7095,12.7957,-2.825,yes
-2.3898,-0.78427,3.0141,0.76205,yes
-3.2238,2.7935,0.32274,-0.86078,yes
-4.0218,-8.304,12.555,-1.5099,yes
-5.637,8.1261,0.13081,-5.0142,yes
1.3518,1.0595,-2.3437,0.39998,yes
-3.3582,-7.2404,11.4419,-0.57113,yes
-1.6386,3.3584,-1.7302,-3.5646,yes
-0.51003,-0.23591,0.020273,0.76334,yes
-0.89809,-4.4862,2.2009,0.50731,yes
-0.91318,-2.0113,-0.19565,0.066365,yes
-1.8629,-0.84841,2.5377,0.097399,yes
0.75108,1.9161,-3.1098,-0.20518,yes
-2.4365,3.6026,-1.4166,-2.8948,yes
-4.1958,-8.1819,12.1291,-1.6017,yes
-1.9389,1.5706,0.045979,-1.122,yes
1.7425,3.6833,-4.0129,-1.7207,yes
-3.9411,-12.8792,13.0597,-3.3125,yes
-0.77461,-1.8768,2.4023,1.1319,yes
1.7875,4.78,-5.1362,-3.2362,yes
0.63655,5.2022,-5.2159,-6.1211,yes
-0.81479,-5.7381,4.3919,0.3211,yes
-2.5084,-0.22763,1.488,1.2069,yes
-3.5359,0.30417,0.6569,-0.2957,yes
-2.3147,3.6668,-0.6969,-1.2474,yes
-0.75793,2.5349,-3.0464,-1.2629,yes
-2.3147,3.6668,-0.6969,-1.2474,yes
-1.8219,-6.8824,5.4681,0.057313,yes
-0.28015,3.0729,-3.3857,-2.9155,yes
-2.9138,-9.4711,9.7668,-0.60216,yes
-2.899,-0.60424,2.6045,1.3776,yes
-2.5419,-0.65804,2.6842,1.1952,yes
-4.6765,-5.6636,10.969,-0.33449,yes
-2.8833,1.7713,0.68946,-0.4638,yes
-0.26654,-0.64562,-0.42014,0.89136,yes
-7.0364,9.2931,0.16594,-4.5396,yes
-6.9599,8.9931,0.2182,-4.572,yes
-3.73,-12.9723,12.9817,-2.684,yes
1.5631,0.89599,-1.9702,0.65472,yes
1.5514,3.8013,-4.9143,-3.7483,yes
-2.899,-0.60424,2.6045,1.3776,yes
-3.5637,-8.3827,12.393,-1.2823,yes
-1.7479,-5.823,5.8699,1.212,yes
-2.5419,-0.65804,2.6842,1.1952,yes
-2.5701,-6.8452,8.9999,2.1353,yes
-4.211,-12.4736,14.9704,-1.3884,yes
0.6212,3.6771,-4.0771,-2.0711,yes
-2.5526,-7.3625,6.9255,-0.66811,yes
-1.6641,-1.3678,1.997,0.52283,yes
-2.9138,-9.4711,9.7668,-0.60216,yes
-0.014902,-1.0243,-0.94024,0.64955,yes
-2.4198,-0.24418,0.70146,0.41809,yes
1.3183,1.9017,-3.3111,0.065071,yes
0.22432,-0.52147,-0.40386,1.2017,yes
-3.2692,-12.7406,15.5573,-0.14182,yes
-1.4094,-2.1252,-0.10397,-0.19225,yes
-1.9966,-9.5001,9.682,-0.12889,yes
-0.89809,-4.4862,2.2009,0.50731,yes
0.56232,1.0015,-2.2726,-0.006049,yes
-1.6662,-0.30005,1.4238,0.024986,yes
-0.89409,3.1991,-1.8219,-2.9452,yes
1.2309,3.8923,-4.8277,-4.0069,yes
-2.9662,-10.3257,8.784,-2.1138,yes
-0.8734,1.6533,-2.1964,-0.78061,yes
-3,-9.1566,9.5766,-0.73018,yes
-2.0441,1.2271,0.18564,-1.091,yes
1.5631,0.89599,-1.9702,0.65472,yes
0.27331,4.8773,-4.9194,-5.8198,yes
-0.55008,2.8659,-1.6488,-2.4319,yes
-6.9599,8.9931,0.2182,-4.572,yes
-3.0265,-0.062088,0.68604,-0.055186,yes
-0.89542,2.0279,-2.3652,-1.2746,yes
0.50225,0.65388,-1.1793,0.39998,yes
-0.7351,1.7361,-1.4938,-1.1582,yes
-3.793,-12.7095,12.7957,-2.825,yes
-0.40857,3.0977,-2.9607,-2.6892,yes
-3.38,-0.7077,2.5325,0.71808,yes
-6.7387,6.9879,0.67833,-7.5887,yes
0.74428,-3.7723,1.6131,1.5754,yes
-3.9411,-12.8792,13.0597,-3.3125,yes
-1.7549,-0.080711,-0.75774,-0.3707,yes
-4.8554,-5.9037,10.9818,-0.82199,yes
-4.6765,-5.6636,10.969,-0.33449,yes
-0.62043,0.5587,-0.38587,-0.66423,yes
-0.8734,-0.033118,-0.20165,0.55774,yes
0.11032,1.9741,-3.3668,-0.65259,yes
-2.9672,-13.2869,13.4727,-2.6271,yes
-3.551,1.8955,0.1865,-2.4409,yes
-0.8172,3.3812,-3.6684,-3.456,yes
1.0117,0.9022,-2.3506,0.42714,yes
-2.4349,-9.2497,8.9922,-0.50001,yes
-4.2887,-7.8633,11.8387,-1.8978,yes
-0.98193,2.7956,-1.2341,-1.5668,yes
-6.0598,9.2952,-0.43642,-6.3694,yes
-2.5724,-0.95602,2.7073,-0.16639,yes
-2.7908,-5.7133,5.953,0.45946,yes
-0.62684,-6.301,4.7843,1.106,yes
-3.8953,4.0392,-0.3019,-2.1836,yes
-2.1979,-2.1252,1.7151,0.45171,yes
-0.36372,3.0439,-3.4816,-2.7836,yes
-1.6641,-1.3678,1.997,0.52283,yes
-6.1632,8.7096,-0.21621,-3.6345,yes
-1.8483,0.31038,0.77344,1.4189,yes
1.3518,1.0595,-2.3437,0.39998,yes
0.74428,-3.7723,1.6131,1.5754,yes
-3.5985,-13.6593,17.6052,-2.4927,yes
-2.7769,-5.6967,5.9179,0.37671,yes
-0.23356,3.2405,-3.0669,-2.7784,yes
-1.4427,3.2922,-1.9702,-3.4392,yes
