job,marital,education,default,housing,loan,contact,month,poutcome,y
services,married,secondary,no,yes,no,unknown,jun,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,may,failure,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
services,married,tertiary,no,yes,yes,unknown,may,unknown,no
retired,divorced,unknown,no,yes,no,cellular,jan,failure,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
management,single,unknown,no,no,yes,cellular,jul,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,unknown,no
technician,single,tertiary,no,yes,no,cellular,feb,unknown,no
blue-collar,married,primary,no,no,yes,cellular,nov,unknown,no
technician,single,secondary,no,yes,no,cellular,feb,failure,no
technician,married,unknown,no,no,no,unknown,jun,unknown,no
technician,single,secondary,no,yes,yes,unknown,jun,unknown,no
self-employed,married,secondary,no,yes,yes,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,cellular,nov,failure,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,divorced,primary,no,no,no,unknown,jun,unknown,no
management,single,secondary,no,yes,no,unknown,may,unknown,no
management,single,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,cellular,may,success,no
services,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,nov,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,yes,cellular,jul,unknown,no
blue-collar,divorced,primary,no,no,no,cellular,feb,unknown,no
self-employed,married,secondary,no,no,no,unknown,jun,unknown,no
self-employed,married,secondary,no,yes,no,cellular,may,unknown,no
management,divorced,tertiary,yes,no,yes,unknown,may,unknown,no
services,divorced,secondary,no,yes,no,cellular,may,unknown,no
technician,married,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,divorced,secondary,no,yes,no,cellular,may,failure,no
unemployed,single,tertiary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
student,single,secondary,no,no,no,cellular,apr,unknown,no
unknown,married,unknown,no,no,no,unknown,jun,unknown,no
services,single,secondary,no,yes,no,cellular,may,unknown,no
retired,married,primary,no,no,no,telephone,feb,unknown,no
services,divorced,secondary,no,no,yes,cellular,jul,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
services,single,secondary,no,yes,yes,unknown,jun,unknown,no
admin.,married,secondary,no,yes,yes,cellular,may,failure,no
retired,divorced,tertiary,no,yes,yes,cellular,jul,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
services,married,tertiary,no,yes,no,cellular,nov,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
admin.,married,secondary,no,no,no,unknown,jun,unknown,no
entrepreneur,married,primary,no,no,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
services,married,secondary,no,yes,no,cellular,may,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,no
unknown,married,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,yes,cellular,aug,unknown,no
technician,married,secondary,no,no,no,telephone,jul,unknown,no
services,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,yes,no,unknown,jun,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
housemaid,divorced,tertiary,no,no,no,cellular,nov,unknown,no
retired,married,secondary,no,no,no,telephone,apr,success,no
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,no
student,single,secondary,no,no,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,single,primary,no,no,no,cellular,jul,unknown,no
management,divorced,unknown,no,yes,no,unknown,may,unknown,no
management,married,secondary,no,yes,no,cellular,apr,failure,no
self-employed,single,tertiary,no,no,no,cellular,feb,unknown,no
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
admin.,married,secondary,no,yes,yes,unknown,may,unknown,no
management,married,secondary,no,no,no,cellular,jul,unknown,no
management,married,tertiary,no,yes,no,cellular,jun,unknown,no
self-employed,married,tertiary,no,no,no,cellular,jul,unknown,no
unemployed,married,primary,no,no,no,unknown,jun,unknown,no
unemployed,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,cellular,nov,unknown,no
services,single,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,divorced,primary,no,yes,no,cellular,jul,unknown,no
admin.,single,secondary,no,no,no,cellular,apr,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,no,no,cellular,jan,other,no
technician,single,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,divorced,secondary,no,yes,no,cellular,may,failure,no
self-employed,divorced,secondary,no,yes,yes,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,single,primary,no,yes,yes,unknown,jun,unknown,no
technician,married,secondary,no,no,yes,cellular,feb,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,other,no
management,single,tertiary,no,yes,no,cellular,may,failure,no
technician,married,secondary,no,no,yes,telephone,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,failure,no
blue-collar,married,secondary,no,yes,no,cellular,apr,other,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
technician,married,tertiary,no,yes,yes,cellular,sep,other,no
management,single,secondary,no,yes,no,cellular,jan,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,no,no,cellular,may,unknown,no
management,married,primary,no,no,yes,cellular,nov,unknown,no
housemaid,married,secondary,no,yes,no,cellular,may,failure,no
admin.,single,secondary,no,yes,no,unknown,jun,unknown,no
technician,single,tertiary,no,no,yes,cellular,aug,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,apr,failure,no
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,no
unknown,divorced,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,other,no
admin.,married,primary,no,no,no,cellular,may,other,no
management,married,tertiary,no,no,no,cellular,oct,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
technician,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
services,married,primary,no,no,no,cellular,nov,unknown,no
management,married,tertiary,no,no,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,single,unknown,no,yes,no,cellular,may,unknown,no
blue-collar,divorced,primary,no,yes,no,telephone,may,unknown,no
management,married,tertiary,no,no,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,failure,no
admin.,single,secondary,no,yes,no,cellular,apr,unknown,no
unemployed,married,primary,no,no,yes,cellular,jul,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
self-employed,married,secondary,no,no,no,cellular,nov,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,feb,unknown,no
unemployed,single,secondary,no,no,no,cellular,jan,other,no
services,divorced,secondary,no,yes,no,unknown,may,unknown,no
admin.,divorced,secondary,no,no,no,unknown,jun,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,unknown,may,unknown,no
student,single,unknown,no,yes,no,unknown,may,unknown,no
unemployed,married,primary,no,yes,yes,unknown,may,unknown,no
unknown,married,unknown,no,no,no,unknown,jun,unknown,no
management,married,primary,no,yes,no,unknown,may,unknown,no
technician,single,secondary,no,yes,no,cellular,jul,unknown,no
management,married,secondary,no,yes,no,cellular,may,unknown,no
unemployed,divorced,primary,no,no,no,cellular,nov,unknown,no
admin.,married,secondary,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
self-employed,married,tertiary,no,no,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,cellular,nov,unknown,no
self-employed,married,secondary,no,yes,no,cellular,apr,failure,no
management,married,primary,no,yes,no,cellular,nov,unknown,no
self-employed,single,secondary,no,no,no,cellular,jul,unknown,no
management,married,secondary,no,yes,no,cellular,jul,unknown,no
services,divorced,primary,no,yes,no,unknown,jun,unknown,no
student,single,unknown,no,no,no,cellular,sep,unknown,no
self-employed,married,secondary,no,no,no,unknown,jun,unknown,no
entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,single,secondary,no,no,yes,cellular,nov,unknown,no
retired,divorced,primary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
technician,single,tertiary,no,no,no,cellular,nov,unknown,no
retired,single,primary,no,no,no,unknown,jun,unknown,no
retired,married,primary,no,no,no,unknown,jun,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,no,no,unknown,jun,unknown,no
services,married,secondary,no,no,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,no,no,telephone,jul,unknown,no
admin.,married,secondary,no,no,no,cellular,oct,unknown,no
admin.,divorced,secondary,no,yes,no,unknown,jun,unknown,no
management,divorced,tertiary,no,yes,no,cellular,jul,unknown,no
technician,single,secondary,no,yes,no,unknown,jun,unknown,no
retired,divorced,primary,no,no,no,cellular,mar,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,unknown,may,unknown,no
services,married,secondary,no,no,yes,cellular,jul,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,single,secondary,no,no,no,cellular,jul,unknown,no
technician,married,tertiary,no,yes,no,telephone,jul,unknown,no
management,divorced,tertiary,no,no,no,cellular,nov,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
services,married,secondary,no,yes,no,unknown,jun,success,no
admin.,married,secondary,no,no,no,cellular,jan,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
management,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,unknown,may,unknown,no
services,married,secondary,no,yes,no,cellular,may,failure,no
services,married,secondary,no,yes,yes,cellular,jul,unknown,no
services,married,secondary,no,no,yes,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,feb,unknown,no
technician,single,secondary,no,no,yes,telephone,nov,unknown,no
services,married,secondary,no,no,yes,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,sep,unknown,no
services,married,secondary,no,yes,no,cellular,feb,failure,no
management,divorced,tertiary,no,yes,no,cellular,may,other,no
technician,married,secondary,no,yes,no,cellular,jan,unknown,no
blue-collar,married,primary,no,no,no,unknown,jun,unknown,no
admin.,married,secondary,no,no,yes,cellular,aug,unknown,no
management,single,secondary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,secondary,no,no,no,unknown,may,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,nov,unknown,no
retired,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,no,no,cellular,jul,unknown,no
management,divorced,tertiary,no,yes,no,cellular,may,success,no
management,married,tertiary,no,yes,yes,unknown,jun,failure,no
technician,single,secondary,no,no,no,cellular,may,unknown,no
student,single,secondary,no,no,no,cellular,jan,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,no
entrepreneur,married,secondary,no,yes,yes,cellular,may,failure,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,nov,unknown,no
management,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
technician,single,secondary,no,no,no,cellular,may,unknown,no
blue-collar,single,secondary,no,no,no,cellular,may,failure,no
technician,married,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,no
admin.,married,primary,no,yes,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,cellular,jan,unknown,no
management,married,tertiary,no,no,no,cellular,nov,failure,no
management,married,tertiary,no,no,yes,cellular,jul,unknown,no
services,married,secondary,no,no,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
management,married,secondary,no,no,no,cellular,feb,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,failure,no
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
admin.,married,secondary,no,yes,no,cellular,nov,unknown,no
blue-collar,married,primary,no,no,no,cellular,jul,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,feb,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,cellular,nov,failure,no
technician,married,secondary,no,yes,yes,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
technician,divorced,secondary,no,yes,no,telephone,jul,unknown,no
admin.,married,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,cellular,may,failure,no
admin.,divorced,secondary,no,yes,no,unknown,jun,unknown,no
services,divorced,secondary,no,no,no,cellular,feb,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,no
management,single,tertiary,no,yes,no,telephone,feb,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,unknown,no,yes,no,unknown,may,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,primary,yes,yes,yes,cellular,feb,unknown,no
blue-collar,single,secondary,no,no,yes,cellular,nov,unknown,no
admin.,divorced,primary,no,no,yes,cellular,jul,unknown,no
blue-collar,single,secondary,no,no,no,cellular,jan,unknown,no
technician,single,tertiary,no,yes,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
unemployed,married,secondary,no,no,no,cellular,feb,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
admin.,single,secondary,no,yes,no,cellular,may,other,no
technician,single,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,no,no,cellular,mar,unknown,no
retired,married,secondary,no,no,yes,unknown,jun,unknown,no
technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,no,no,telephone,may,failure,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
management,single,tertiary,no,yes,no,unknown,jun,unknown,no
admin.,divorced,secondary,no,yes,no,cellular,apr,failure,no
blue-collar,married,secondary,no,yes,yes,cellular,nov,failure,no
entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,telephone,jul,unknown,no
management,married,unknown,no,no,no,cellular,sep,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,no
entrepreneur,married,primary,no,no,no,telephone,nov,failure,no
admin.,married,secondary,no,yes,no,cellular,jan,success,no
technician,married,secondary,no,no,no,unknown,may,unknown,no
blue-collar,married,primary,no,no,no,telephone,aug,unknown,no
entrepreneur,married,tertiary,no,yes,yes,cellular,jul,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
student,single,secondary,no,no,no,telephone,feb,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
services,married,secondary,no,yes,yes,unknown,may,unknown,no
retired,married,secondary,no,yes,yes,cellular,aug,unknown,no
entrepreneur,married,primary,no,no,no,cellular,may,unknown,no
services,married,secondary,no,no,no,cellular,jul,unknown,no
entrepreneur,divorced,tertiary,no,no,no,cellular,jul,unknown,no
admin.,single,secondary,no,no,yes,cellular,jul,unknown,no
retired,married,secondary,no,no,no,cellular,apr,failure,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,single,unknown,no,yes,no,cellular,may,unknown,no
blue-collar,married,primary,no,yes,yes,telephone,may,unknown,no
technician,divorced,primary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,yes,no,unknown,jun,unknown,no
admin.,single,secondary,no,no,no,cellular,aug,unknown,no
technician,divorced,tertiary,no,no,no,cellular,jul,unknown,no
self-employed,single,tertiary,no,no,no,unknown,jun,unknown,no
admin.,married,secondary,no,yes,no,unknown,jun,unknown,no
management,single,tertiary,no,no,no,cellular,oct,success,no
management,married,tertiary,no,no,yes,cellular,jul,unknown,no
management,single,tertiary,no,no,yes,cellular,jan,failure,no
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,cellular,jan,unknown,no
technician,married,unknown,no,yes,no,cellular,nov,unknown,no
housemaid,married,primary,no,no,yes,telephone,jul,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,apr,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
technician,married,tertiary,no,yes,no,cellular,apr,failure,no
admin.,married,tertiary,no,yes,no,telephone,nov,success,no
blue-collar,married,secondary,no,no,no,cellular,jul,unknown,no
blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
entrepreneur,married,primary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,cellular,apr,failure,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,aug,unknown,no
services,divorced,secondary,yes,yes,no,cellular,jul,unknown,no
retired,married,secondary,no,yes,yes,unknown,may,unknown,no
technician,single,tertiary,no,yes,no,cellular,may,success,no
blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
retired,single,primary,no,no,no,unknown,jun,unknown,no
management,single,tertiary,no,yes,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
management,divorced,tertiary,no,yes,yes,cellular,nov,unknown,no
retired,married,unknown,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
blue-collar,single,unknown,no,yes,no,cellular,may,unknown,no
self-employed,divorced,tertiary,no,no,no,cellular,may,failure,no
technician,divorced,tertiary,no,no,yes,cellular,jul,unknown,no
management,married,tertiary,no,no,no,unknown,jun,unknown,no
management,single,tertiary,no,no,no,cellular,nov,unknown,no
technician,married,secondary,no,yes,no,cellular,apr,unknown,no
management,divorced,tertiary,no,no,no,cellular,mar,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,nov,unknown,no
technician,married,secondary,no,yes,no,cellular,feb,unknown,no
technician,single,tertiary,no,yes,yes,cellular,feb,unknown,no
self-employed,married,secondary,no,yes,no,cellular,jul,unknown,no
blue-collar,married,secondary,no,no,yes,unknown,oct,failure,no
entrepreneur,divorced,primary,no,no,no,cellular,jan,failure,no
entrepreneur,married,tertiary,no,no,no,cellular,jul,unknown,no
student,single,tertiary,no,no,yes,cellular,jun,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
management,single,tertiary,no,no,no,unknown,may,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,may,unknown,no
technician,married,secondary,no,no,no,unknown,jun,unknown,no
management,single,tertiary,no,no,yes,cellular,jul,unknown,no
technician,single,secondary,no,no,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,unknown,jun,unknown,no
management,married,primary,no,no,no,cellular,feb,unknown,no
management,single,tertiary,no,yes,no,cellular,may,failure,no
admin.,single,secondary,no,no,yes,cellular,sep,unknown,no
retired,married,secondary,no,yes,yes,unknown,may,unknown,no
technician,married,secondary,no,yes,no,cellular,may,unknown,no
management,married,tertiary,no,yes,no,cellular,jul,unknown,no
self-employed,single,secondary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,unknown,may,unknown,no
services,divorced,primary,no,yes,no,cellular,apr,unknown,no
admin.,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,telephone,jul,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,feb,other,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
housemaid,married,primary,no,yes,no,cellular,aug,failure,no
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,no
admin.,married,secondary,no,yes,no,cellular,may,unknown,no
admin.,divorced,secondary,no,yes,no,cellular,nov,other,no
admin.,married,secondary,no,no,no,unknown,jun,unknown,no
entrepreneur,single,secondary,no,no,yes,cellular,jul,unknown,no
